current_body_type,goal_body_type,age,height,weight,sleep_hours,exercise_frequency,daily_steps,alcohol_consumption,smoking,calorie_intake,protein_intake,fat_intake,BMI,activity_level,recommended_calories,recommended_protein,recommended_fat,recommended_carbs
skinny,fat_loss,39,167,102.2,7.8,2,11106,0,0,2484,136.0,98.3,36.65,active,2770,207.2,75.3,315.9
overweight,recomposition,19,155,64.1,6.6,1,7016,1,1,2395,84.8,73.2,26.68,moderate,2434,120.0,62.4,348.1
skinny,recomposition,32,157,91.9,6.3,5,10779,0,0,2187,111.4,103.2,37.28,active,3062,162.6,71.5,442.0
skinny,fat_loss,30,168,59.8,5.7,0,13600,0,1,2776,53.1,110.8,21.19,moderate,1904,99.4,42.6,280.8
skinny,muscle_gain,36,180,76.1,6.4,0,6136,1,0,1903,94.4,53.8,23.49,active,3289,158.8,107.8,420.9
normal,muscle_gain,23,165,52.7,8.1,4,11766,0,1,3004,78.7,71.4,19.36,moderate,2702,86.2,88.9,389.3
overweight,fat_loss,24,163,85.7,6.1,0,4573,0,0,1803,95.6,91.6,32.26,light,2047,138.8,52.0,255.9
skinny,recomposition,36,179,49.6,5.9,2,14907,0,1,2706,71.2,107.9,15.48,light,1897,81.1,58.9,260.6
overweight,recomposition,54,168,73.5,6.9,2,13464,1,1,2412,89.6,112.3,26.04,active,2710,131.8,67.8,393.1
overweight,fat_loss,23,164,107.5,8.3,4,11619,0,1,2458,135.0,114.1,39.97,light,2390,236.3,64.7,215.6
normal,muscle_gain,49,155,75.6,6.6,2,12979,0,0,2203,110.5,106.9,31.47,active,3001,122.6,69.6,471.1
normal,fat_loss,34,170,52.5,8.1,6,10431,0,1,2525,64.9,84.9,18.17,light,1542,107.9,37.8,192.6
overweight,recomposition,53,158,105.3,6.8,5,9941,0,0,2793,107.1,51.0,42.18,light,2452,174.4,81.5,255.2
normal,muscle_gain,25,179,106.6,7.6,1,10165,1,1,2141,126.4,76.9,33.27,active,4014,203.1,128.4,511.5
normal,recomposition,22,167,95.2,8.4,2,14905,1,0,2972,114.8,96.2,34.14,moderate,2868,177.8,79.2,361.0
skinny,muscle_gain,39,185,94.6,6.5,2,5090,0,1,2245,107.0,113.9,27.64,sedentary,2691,173.3,79.6,320.4
skinny,recomposition,27,181,107.7,5.5,4,7439,0,1,1821,97.0,111.0,32.87,active,3523,177.2,108.9,458.5
overweight,recomposition,34,171,85.5,6.6,0,7383,1,1,3021,70.5,54.8,29.24,active,3094,171.9,78.6,424.8
skinny,recomposition,32,155,73.2,5.4,5,13532,0,1,3064,60.9,105.7,30.47,moderate,2370,132.9,64.0,315.6
overweight,muscle_gain,33,183,71.8,7.7,1,4785,0,0,2496,86.7,66.3,21.44,light,2802,125.8,70.2,416.8
overweight,muscle_gain,18,179,103.6,7.7,1,3210,1,1,2766,116.0,71.1,32.33,active,3968,218.8,92.9,564.2
normal,fat_loss,42,186,68.3,6.2,5,6837,0,1,3074,90.3,108.3,19.74,sedentary,1595,141.1,39.5,168.8
overweight,recomposition,40,164,86.4,7.5,5,14379,0,0,2232,95.8,90.6,32.12,sedentary,2119,145.1,68.5,230.5
normal,muscle_gain,38,176,56.4,5.5,4,7994,1,0,2845,58.5,58.1,18.21,moderate,2611,95.0,86.1,364.0
normal,recomposition,43,185,68.8,8.2,0,6332,0,1,2618,94.6,115.8,20.1,moderate,2460,137.9,67.6,325.0
overweight,muscle_gain,53,170,104.5,5.9,0,12410,1,1,1995,152.8,71.3,36.16,sedentary,2643,174.5,65.6,338.6
normal,recomposition,52,158,70.3,6.5,5,13411,1,0,2967,86.5,115.7,28.16,sedentary,1693,113.9,44.6,209.0
skinny,muscle_gain,46,178,106.8,8.4,0,13234,1,1,2065,94.6,109.4,33.71,moderate,3447,176.8,84.7,494.4
overweight,fat_loss,19,153,96.1,6.0,1,14893,0,0,2938,92.6,104.2,41.05,light,2060,153.9,65.4,213.9
skinny,muscle_gain,27,158,80.1,8.2,0,12830,0,0,2624,65.0,68.6,32.09,light,2612,163.8,73.3,324.3
overweight,fat_loss,22,180,74.1,6.4,4,3786,1,0,2441,109.3,54.3,22.87,moderate,2307,156.2,62.2,280.6
skinny,muscle_gain,24,181,91.3,6.8,0,7277,0,0,2333,111.2,70.6,27.87,moderate,3419,179.2,79.7,496.2
normal,muscle_gain,25,185,91.9,5.9,3,5743,1,1,2821,93.6,71.9,26.85,active,3737,167.7,89.4,565.4
overweight,fat_loss,48,154,50.9,5.3,3,3582,1,0,2738,55.4,111.2,21.46,moderate,1424,94.4,46.1,157.9
overweight,muscle_gain,21,168,84.0,6.4,4,10313,0,0,2986,87.8,88.9,29.76,light,2790,172.8,79.8,345.1
skinny,fat_loss,45,185,108.3,8.3,4,13058,0,1,2783,110.1,73.8,31.64,moderate,2828,185.1,67.3,370.5
normal,muscle_gain,43,154,54.2,7.5,0,3503,0,1,2020,55.2,72.7,22.85,moderate,2451,106.1,78.5,330.0
normal,recomposition,27,160,94.0,5.2,0,6458,1,1,2379,89.4,85.9,36.72,active,3110,174.6,78.9,425.4
skinny,muscle_gain,55,181,79.3,6.2,1,8475,0,0,2874,105.9,70.3,24.21,light,2604,127.2,79.5,344.9
normal,recomposition,29,158,69.7,7.8,4,11154,1,0,2410,78.2,55.5,27.92,sedentary,1833,135.6,52.4,204.8
skinny,muscle_gain,44,168,52.5,5.1,2,4815,1,1,2140,63.6,86.7,18.6,sedentary,2033,111.4,62.0,257.4
normal,recomposition,32,171,95.6,5.3,5,3868,0,1,2130,86.3,63.8,32.69,light,2624,161.7,80.4,313.4
overweight,muscle_gain,22,161,106.8,7.5,3,14360,1,1,2415,120.5,94.2,41.2,light,3077,208.8,80.4,379.5
overweight,recomposition,22,169,75.0,5.2,2,6703,0,0,2447,89.1,105.4,26.26,active,2844,140.2,88.8,371.0
overweight,fat_loss,30,170,84.3,7.0,0,9381,0,1,1854,109.2,119.4,29.17,light,1986,161.3,47.6,228.1
skinny,muscle_gain,41,168,70.2,8.1,5,11795,0,1,2581,75.2,67.6,24.87,sedentary,2330,152.9,67.4,277.9
overweight,recomposition,27,171,50.3,7.7,2,7082,1,0,2233,53.5,105.4,17.2,sedentary,1662,100.7,52.2,197.3
skinny,fat_loss,51,155,87.0,6.7,2,2298,1,1,3126,99.2,65.9,36.21,moderate,2127,147.3,54.3,262.3
overweight,muscle_gain,24,182,95.1,8.3,4,2618,1,0,2027,131.4,104.0,28.71,light,3055,193.3,69.4,414.3
overweight,fat_loss,41,165,108.0,7.4,6,14264,1,0,3151,145.7,113.3,39.67,moderate,2613,196.6,85.6,264.1
skinny,recomposition,46,179,95.0,8.1,4,10641,1,0,3022,79.5,83.6,29.65,light,2530,183.6,59.1,315.9
skinny,fat_loss,51,157,63.5,8.1,2,9361,0,1,3038,92.2,79.0,25.76,active,1955,120.7,48.6,258.7
skinny,fat_loss,23,173,59.6,6.3,0,13709,1,0,3084,67.4,108.2,19.91,moderate,1935,120.6,52.6,244.8
normal,fat_loss,18,155,46.2,5.9,1,10991,1,0,1970,44.7,94.7,19.23,moderate,1626,86.6,38.1,234.2
normal,fat_loss,49,188,79.8,7.5,4,5963,0,1,2136,87.1,96.5,22.58,moderate,2365,152.7,62.0,299.1
skinny,recomposition,51,184,78.0,9.0,4,2333,1,1,3173,76.2,51.1,23.04,active,2815,140.9,85.5,370.5
overweight,muscle_gain,24,187,92.8,6.3,0,7772,1,0,2684,127.0,54.4,26.54,active,3916,201.0,88.6,578.6
normal,fat_loss,30,152,96.4,8.5,2,7080,1,1,2200,135.3,53.3,41.72,light,1965,173.4,46.4,213.4
overweight,muscle_gain,41,177,102.8,8.0,3,7554,0,1,3094,119.6,106.1,32.81,moderate,3484,190.7,94.1,468.6
normal,recomposition,29,184,64.1,5.4,2,12828,1,1,2033,71.2,81.3,18.93,active,2933,136.0,76.7,424.7
overweight,recomposition,45,167,86.6,8.2,0,3229,1,1,3133,77.9,92.5,31.05,light,2423,161.3,57.2,315.8
normal,muscle_gain,33,173,68.5,8.8,0,11913,0,1,2868,82.3,87.1,22.89,active,3171,122.5,80.3,489.6
normal,recomposition,25,151,92.8,7.0,3,11202,0,1,2100,114.0,98.6,40.7,active,3046,159.6,72.3,439.2
overweight,fat_loss,22,178,56.2,7.9,0,13172,1,1,3047,78.5,99.8,17.74,moderate,1953,111.4,60.6,240.5
normal,recomposition,50,164,52.9,5.8,1,5878,1,0,2454,78.7,59.1,19.67,moderate,1950,86.7,52.0,283.8
overweight,fat_loss,48,183,71.7,6.6,4,3208,0,1,2452,83.3,59.0,21.41,active,2305,138.4,66.3,288.7
skinny,fat_loss,26,177,77.7,8.5,6,4034,0,1,3108,74.4,116.3,24.8,moderate,2293,166.0,72.5,244.1
overweight,recomposition,34,162,86.3,7.2,1,12240,1,0,2628,104.1,62.0,32.88,light,2410,175.4,69.8,270.1
overweight,muscle_gain,54,152,98.6,5.1,0,12509,1,0,2497,122.2,70.3,42.68,sedentary,2382,186.3,74.2,242.2
normal,fat_loss,43,169,74.5,7.8,1,9202,1,1,2649,75.9,100.3,26.08,moderate,1979,163.4,51.6,215.2
skinny,muscle_gain,43,158,94.4,7.1,0,7228,0,1,2147,81.9,70.3,37.81,active,3367,200.0,90.5,438.1
overweight,muscle_gain,28,170,105.7,7.9,1,14502,0,1,3030,121.4,56.3,36.57,active,3823,201.2,126.0,471.1
overweight,fat_loss,31,187,67.9,5.2,3,11789,1,1,2403,96.3,100.9,19.42,sedentary,1542,125.1,35.0,181.7
overweight,muscle_gain,21,186,81.5,6.5,2,3204,1,1,1980,70.7,76.1,23.56,sedentary,2639,157.7,69.4,345.9
overweight,muscle_gain,27,162,84.2,6.6,0,2742,0,0,2527,76.1,112.5,32.08,active,3309,151.3,96.1,459.7
overweight,recomposition,28,175,109.4,8.0,2,11727,1,1,2464,88.8,73.2,35.72,moderate,3109,239.4,89.3,336.9
overweight,muscle_gain,19,188,75.8,8.9,6,14716,0,0,2533,98.9,104.2,21.45,light,2931,128.0,87.3,408.3
skinny,muscle_gain,20,186,106.6,5.4,0,9225,1,1,2374,143.1,114.4,30.81,light,3421,217.1,102.8,406.9
skinny,muscle_gain,51,163,81.5,9.0,3,10609,1,1,2564,103.8,110.7,30.67,moderate,2928,161.9,87.6,373.0
overweight,fat_loss,48,162,107.2,6.1,2,5684,1,1,2243,111.9,115.4,40.85,active,2706,189.1,63.8,343.9
skinny,muscle_gain,52,174,103.2,6.6,2,14665,0,1,2284,114.5,68.0,34.09,sedentary,2659,178.4,83.6,298.2
skinny,recomposition,35,185,90.3,5.5,4,14138,0,0,2693,75.6,78.9,26.38,light,2680,170.1,79.8,320.4
overweight,fat_loss,26,150,107.7,8.9,1,8666,1,1,2249,134.9,113.6,47.87,moderate,2606,214.5,64.6,291.6
overweight,muscle_gain,20,161,72.2,8.4,0,8504,1,0,1812,86.5,57.5,27.85,sedentary,2344,127.8,77.8,283.2
skinny,fat_loss,52,183,77.1,8.8,6,10261,1,1,2027,86.4,68.0,23.02,moderate,2225,124.0,57.8,302.2
overweight,muscle_gain,36,186,88.8,5.8,4,12464,1,1,2361,77.0,118.7,25.67,sedentary,2672,159.3,66.7,358.6
overweight,muscle_gain,34,174,60.3,8.0,2,6947,0,1,1886,53.2,71.5,19.92,light,2500,121.3,81.2,321.0
skinny,muscle_gain,37,157,86.5,8.8,2,12070,0,0,2436,129.1,76.2,35.09,light,2770,166.9,76.0,354.6
overweight,recomposition,52,163,94.5,7.7,4,14900,0,1,1909,112.9,54.3,35.57,moderate,2688,202.4,65.8,321.6
skinny,recomposition,52,159,55.7,8.4,3,3904,0,1,2932,62.2,85.9,22.03,active,2251,108.0,64.0,310.8
normal,muscle_gain,37,151,70.7,8.3,5,5570,0,0,2557,59.5,112.6,31.01,sedentary,2184,114.5,58.5,299.9
overweight,recomposition,26,176,69.3,8.6,3,8184,1,0,2714,72.3,62.5,22.37,light,2330,127.2,55.1,331.3
skinny,fat_loss,32,150,94.2,8.9,3,13034,1,1,2284,93.5,115.6,41.87,active,2489,194.0,56.2,301.8
skinny,recomposition,44,189,94.8,8.5,0,5943,0,0,2425,120.4,111.1,26.54,sedentary,2259,193.8,60.3,235.3
overweight,recomposition,32,184,59.1,8.5,0,4295,1,0,2608,79.2,107.3,17.46,moderate,2418,105.3,57.6,369.6
overweight,muscle_gain,51,164,71.9,6.1,4,11693,0,1,3161,104.9,97.0,26.73,sedentary,2226,128.8,59.8,293.1
overweight,fat_loss,27,169,69.5,8.0,3,5948,0,1,3080,83.0,117.7,24.33,active,2354,133.3,62.5,314.6
skinny,muscle_gain,34,163,66.5,5.3,3,8079,0,0,2743,81.3,111.2,25.03,active,2967,138.5,85.3,411.3
skinny,recomposition,53,163,76.2,8.5,2,6967,0,0,2845,101.2,114.0,28.68,sedentary,1902,149.6,46.6,221.1
normal,muscle_gain,33,185,65.9,6.1,3,10743,1,1,2452,89.8,100.6,19.25,active,3349,138.6,108.4,454.8
normal,recomposition,41,170,71.9,7.3,1,14144,0,0,2213,67.4,66.1,24.88,active,2773,151.0,77.0,369.0
skinny,recomposition,39,166,94.6,7.0,5,12513,1,1,2036,123.4,84.2,34.33,moderate,2817,207.6,92.6,288.3
normal,fat_loss,51,152,99.5,5.3,6,12948,0,0,1895,90.1,65.3,43.07,light,1914,181.5,55.7,171.7
overweight,muscle_gain,48,181,46.0,7.1,3,2194,0,1,2503,59.3,80.1,14.04,sedentary,1972,76.6,45.9,313.1
skinny,muscle_gain,27,165,57.5,7.1,6,7807,1,1,2442,55.8,98.8,21.12,active,2922,115.6,92.5,406.8
skinny,muscle_gain,20,155,71.3,6.5,3,2919,0,0,2702,73.6,118.4,29.68,active,3061,152.4,99.3,389.4
skinny,recomposition,32,163,103.6,7.8,4,9790,1,0,3059,123.7,52.3,38.99,moderate,2924,166.7,71.7,403.0
normal,recomposition,27,175,105.4,6.2,4,5939,1,1,2906,135.2,55.5,34.42,light,2864,230.3,65.4,338.5
skinny,recomposition,45,164,99.5,6.4,6,12057,1,1,2896,111.0,66.0,36.99,moderate,2831,215.4,76.5,320.2
normal,fat_loss,55,174,50.6,7.5,6,6037,0,0,2796,62.9,101.8,16.71,active,1902,91.9,44.2,284.1
normal,recomposition,37,178,68.4,6.1,1,3430,0,1,1944,59.0,88.8,21.59,active,2840,134.0,73.3,411.1
overweight,muscle_gain,42,150,64.0,6.6,0,13875,0,0,1994,64.7,84.5,28.44,light,2203,108.8,55.7,316.6
normal,fat_loss,37,180,95.9,6.4,1,13811,1,0,2226,140.4,73.3,29.6,light,2160,175.3,68.7,210.1
normal,recomposition,46,171,73.0,8.3,5,11738,0,1,2470,67.5,77.9,24.96,light,2144,129.6,64.2,261.9
skinny,recomposition,49,186,95.8,6.3,2,14875,1,1,2629,113.2,97.7,27.69,light,2625,154.8,79.5,322.6
overweight,muscle_gain,31,178,96.8,8.3,0,8703,1,0,2153,87.9,79.6,30.55,light,3050,159.2,101.4,375.1
normal,recomposition,48,187,71.1,7.0,6,13332,1,0,1953,69.2,96.5,20.33,sedentary,1915,141.4,43.5,239.5
overweight,recomposition,43,171,107.8,6.7,0,3615,1,0,2424,115.8,104.1,36.87,light,2713,217.1,64.8,315.4
normal,muscle_gain,19,180,51.8,6.7,0,3901,0,1,2897,60.3,74.4,15.99,active,3002,96.5,90.0,451.5
overweight,fat_loss,38,154,64.5,8.2,0,2370,1,0,2522,76.5,73.2,27.2,light,1546,140.3,38.3,160.0
normal,recomposition,43,190,57.0,7.6,3,8481,0,0,2344,73.7,64.4,15.79,active,2761,115.3,85.8,381.9
skinny,muscle_gain,54,156,97.0,7.1,2,7340,0,1,2538,121.0,91.8,39.86,active,3354,178.0,78.8,483.2
normal,fat_loss,40,179,85.1,8.3,5,6873,0,0,2227,79.0,98.5,26.56,light,2010,156.0,58.0,216.0
normal,muscle_gain,54,174,72.5,6.9,4,13361,0,0,2061,100.7,93.4,23.95,light,2518,157.4,69.5,315.7
overweight,muscle_gain,30,174,107.6,7.0,3,8703,1,1,2034,128.7,105.7,35.54,active,3837,191.0,97.0,550.0
overweight,fat_loss,52,168,55.9,6.8,5,14657,1,0,2885,76.9,75.7,19.81,moderate,1605,90.8,48.5,201.3
skinny,muscle_gain,52,163,109.3,5.4,6,12709,0,1,2288,149.9,80.7,41.14,moderate,3207,225.7,79.7,396.7
skinny,fat_loss,55,172,101.0,7.4,3,4719,0,0,2545,123.0,61.8,34.14,moderate,2333,179.3,66.7,253.9
overweight,fat_loss,50,156,53.8,8.0,3,2971,1,0,2004,55.2,67.3,22.11,light,1270,98.8,30.2,150.8
overweight,recomposition,35,190,71.9,6.8,5,14597,0,1,2772,101.7,81.8,19.92,moderate,2715,129.2,60.4,413.6
normal,fat_loss,23,179,86.3,7.8,6,3037,1,0,2175,119.1,73.6,26.93,active,2781,144.8,88.1,352.2
skinny,muscle_gain,39,153,48.0,7.5,6,9529,0,0,1800,70.6,64.2,20.5,active,2625,103.0,84.1,364.0
skinny,muscle_gain,37,160,101.8,8.5,0,12724,1,1,1872,126.0,100.8,39.77,light,3020,177.2,89.1,377.3
skinny,recomposition,24,150,58.9,5.3,4,5705,1,0,2943,87.9,79.6,26.18,moderate,2120,111.1,52.5,300.8
overweight,recomposition,23,156,51.7,6.5,2,4246,1,0,1895,61.7,92.7,21.24,light,1842,96.4,55.7,238.8
skinny,recomposition,27,176,85.0,6.8,1,3420,0,0,2292,93.5,105.4,27.44,active,3102,150.1,71.8,463.9
skinny,recomposition,53,188,84.0,7.4,6,13312,0,1,2846,84.6,53.8,23.77,light,2374,159.3,55.7,308.9
normal,recomposition,49,190,83.6,7.1,0,7916,1,0,2311,106.8,103.4,23.16,active,3173,137.4,91.2,450.6
normal,recomposition,18,166,59.0,8.7,6,8520,1,1,1915,69.4,93.1,21.41,active,2631,97.4,60.8,423.6
overweight,muscle_gain,31,159,79.9,6.6,5,14504,0,1,1881,68.7,80.4,31.6,light,2674,157.2,61.1,373.8
overweight,recomposition,29,157,45.8,5.5,0,4684,1,1,2033,40.7,104.7,18.58,moderate,1981,93.4,46.6,297.0
normal,recomposition,19,171,97.5,6.1,0,6308,0,1,1877,136.7,61.7,33.34,moderate,2968,170.9,69.3,415.2
normal,muscle_gain,54,157,59.8,7.0,0,2201,0,0,3088,55.3,117.2,24.26,active,2576,115.5,83.4,340.9
overweight,muscle_gain,44,164,65.9,6.7,5,7241,1,0,2502,94.3,62.6,24.5,sedentary,2194,144.2,72.0,242.3
skinny,muscle_gain,22,179,101.3,8.1,2,7362,0,1,2208,136.7,101.8,31.62,light,3148,190.3,90.7,392.6
normal,fat_loss,49,162,92.6,7.2,6,6016,0,0,2558,115.3,98.5,35.28,light,2033,201.0,45.2,205.6
skinny,recomposition,42,169,51.8,7.1,1,8878,1,0,1930,74.8,112.8,18.14,moderate,2155,95.7,69.3,287.1
normal,recomposition,47,155,82.8,7.0,5,8461,0,0,2131,81.4,72.1,34.46,light,2154,167.3,65.5,223.8
skinny,fat_loss,38,178,62.7,5.3,1,4230,0,0,2452,68.0,87.5,19.79,active,2184,108.1,56.0,311.9
normal,fat_loss,34,157,50.9,8.2,2,13545,0,0,2795,75.2,77.7,20.65,sedentary,1278,102.1,32.1,145.2
normal,fat_loss,29,151,106.9,8.4,4,14256,0,0,1970,90.1,104.7,46.88,light,2219,179.4,69.6,218.8
skinny,fat_loss,41,190,105.9,5.3,4,6240,0,0,2933,91.5,109.3,29.34,active,3146,177.2,102.8,378.0
normal,recomposition,21,160,105.1,6.7,5,8471,1,0,2041,99.9,63.1,41.05,active,3336,196.3,79.6,458.6
normal,fat_loss,33,168,77.4,8.5,3,2999,0,1,2079,109.9,86.8,27.42,active,2409,170.0,68.1,279.0
overweight,recomposition,19,174,95.8,6.4,4,14803,1,1,2343,88.7,72.3,31.64,moderate,2987,155.0,93.3,381.8
skinny,fat_loss,35,153,97.6,6.9,2,14563,0,0,2173,133.8,114.2,41.69,light,2109,200.9,69.1,170.9
overweight,muscle_gain,54,174,68.1,8.4,6,4846,0,0,3079,55.8,99.0,22.49,moderate,2775,132.0,79.0,384.0
overweight,fat_loss,30,181,80.2,5.7,0,3478,0,0,2537,64.2,114.3,24.48,sedentary,1794,167.1,46.7,176.3
skinny,muscle_gain,29,170,48.9,5.6,5,4320,0,1,2620,50.6,72.6,16.92,active,2774,99.7,75.1,424.8
overweight,recomposition,49,170,56.3,8.9,5,12055,1,0,2329,74.0,70.6,19.48,light,1850,114.7,60.6,211.4
overweight,fat_loss,54,175,100.3,8.1,4,2530,0,1,3111,90.1,102.2,32.75,sedentary,1838,181.4,47.4,171.4
overweight,fat_loss,23,190,92.4,6.3,0,6345,0,0,2159,80.9,50.1,25.6,moderate,2704,172.1,72.7,340.3
overweight,recomposition,28,176,77.1,6.5,4,8149,0,1,2027,65.7,109.2,24.89,light,2362,124.3,59.3,332.8
normal,recomposition,24,154,67.2,8.6,1,13992,0,0,2786,74.0,95.8,28.34,active,2676,143.4,64.1,381.4
normal,fat_loss,24,171,58.4,5.8,5,11078,1,1,1869,70.1,108.8,19.97,sedentary,1506,95.3,33.5,205.8
skinny,fat_loss,23,168,98.6,7.5,3,5271,0,0,3167,111.6,58.1,34.93,moderate,2485,181.3,68.7,285.4
normal,fat_loss,34,155,86.7,6.6,2,8249,1,0,2415,85.3,108.6,36.09,moderate,2145,141.9,65.6,246.8
normal,recomposition,24,155,88.4,8.2,3,14393,0,0,3151,113.2,115.5,36.8,active,3043,188.2,83.7,384.2
normal,fat_loss,23,175,103.7,7.9,4,11358,0,0,3161,141.6,58.8,33.86,light,2370,170.8,70.7,262.6
normal,recomposition,30,190,54.6,7.4,2,13912,0,0,2572,76.4,86.4,15.12,active,2643,113.1,77.0,374.4
overweight,fat_loss,51,176,52.3,5.6,4,11632,0,0,3014,74.1,111.5,16.88,moderate,1761,95.7,48.6,235.2
normal,muscle_gain,48,152,56.2,6.6,4,11972,1,0,1869,63.7,68.8,24.32,light,2150,90.6,67.3,295.5
skinny,muscle_gain,37,169,63.2,7.0,5,13220,0,0,2883,64.8,101.0,22.13,active,3055,125.6,74.3,471.0
skinny,muscle_gain,31,176,93.2,8.0,6,8126,0,0,1989,130.1,111.6,30.09,active,3553,158.8,113.5,474.1
normal,muscle_gain,30,153,61.2,6.8,2,13544,0,1,2689,54.3,52.1,26.14,active,2850,115.9,77.5,422.2
